parameters,accuracy
"{u'alpha': 0.1, u'l1_ratio': 0}",0.6645264847512039
"{u'alpha': 0.1, u'l1_ratio': 0.05}",0.6934189406099518
"{u'alpha': 0.1, u'l1_ratio': 0.1}",0.6837881219903692
"{u'alpha': 0.1, u'l1_ratio': 0.15}",0.7046548956661316
"{u'alpha': 0.01, u'l1_ratio': 0}",0.6837881219903692
"{u'alpha': 0.01, u'l1_ratio': 0.05}",0.7560192616372392
"{u'alpha': 0.01, u'l1_ratio': 0.1}",0.7528089887640449
"{u'alpha': 0.01, u'l1_ratio': 0.15}",0.7495987158908507
"{u'alpha': 0.001, u'l1_ratio': 0}",0.680577849117175
"{u'alpha': 0.001, u'l1_ratio': 0.05}",0.6902086677367576
"{u'alpha': 0.001, u'l1_ratio': 0.1}",0.6902086677367576
"{u'alpha': 0.001, u'l1_ratio': 0.15}",0.6902086677367576
