parameters,accuracy
"{u'n_estimators': 5, u'max_depth': 1}",0.7865168539325843
"{u'n_estimators': 10, u'max_depth': 1}",0.7672552166934189
"{u'n_estimators': 100, u'max_depth': 1}",0.7800963081861958
"{u'n_estimators': 150, u'max_depth': 1}",0.7865168539325843
"{u'n_estimators': 5, u'max_depth': 2}",0.8041733547351525
"{u'n_estimators': 10, u'max_depth': 2}",0.7881219903691814
"{u'n_estimators': 100, u'max_depth': 2}",0.7849117174959872
"{u'n_estimators': 150, u'max_depth': 2}",0.7849117174959872
"{u'n_estimators': 5, u'max_depth': 3}",0.8089887640449438
"{u'n_estimators': 10, u'max_depth': 3}",0.7865168539325843
"{u'n_estimators': 100, u'max_depth': 3}",0.7929373996789727
"{u'n_estimators': 150, u'max_depth': 3}",0.797752808988764
"{u'n_estimators': 5, u'max_depth': 4}",0.8041733547351525
"{u'n_estimators': 10, u'max_depth': 4}",0.7993579454253612
"{u'n_estimators': 100, u'max_depth': 4}",0.8073836276083467
"{u'n_estimators': 150, u'max_depth': 4}",0.8138041733547352
"{u'n_estimators': 5, u'max_depth': 5}",0.7881219903691814
"{u'n_estimators': 10, u'max_depth': 5}",0.8057784911717496
"{u'n_estimators': 100, u'max_depth': 5}",0.812199036918138
"{u'n_estimators': 150, u'max_depth': 5}",0.8170144462279294
"{u'n_estimators': 5, u'max_depth': 6}",0.8170144462279294
"{u'n_estimators': 10, u'max_depth': 6}",0.8073836276083467
"{u'n_estimators': 100, u'max_depth': 6}",0.8218298555377207
"{u'n_estimators': 150, u'max_depth': 6}",0.8202247191011236
"{u'n_estimators': 5, u'max_depth': 7}",0.812199036918138
"{u'n_estimators': 10, u'max_depth': 7}",0.8202247191011236
"{u'n_estimators': 100, u'max_depth': 7}",0.8218298555377207
"{u'n_estimators': 150, u'max_depth': 7}",0.8186195826645265
"{u'n_estimators': 5, u'max_depth': 8}",0.7913322632423756
"{u'n_estimators': 10, u'max_depth': 8}",0.8202247191011236
"{u'n_estimators': 100, u'max_depth': 8}",0.8138041733547352
"{u'n_estimators': 150, u'max_depth': 8}",0.8089887640449438
"{u'n_estimators': 5, u'max_depth': 9}",0.7929373996789727
"{u'n_estimators': 10, u'max_depth': 9}",0.7993579454253612
"{u'n_estimators': 100, u'max_depth': 9}",0.8138041733547352
"{u'n_estimators': 150, u'max_depth': 9}",0.812199036918138
