parameters,mean_validation_score
"{u'n_estimators': 10, u'max_depth': 2}",0.7991573033707865
"{u'n_estimators': 50, u'max_depth': 2}",0.8300561797752809
"{u'n_estimators': 100, u'max_depth': 2}",0.8314606741573034
"{u'n_estimators': 150, u'max_depth': 2}",0.8426966292134831
"{u'n_estimators': 10, u'max_depth': 3}",0.824438202247191
"{u'n_estimators': 50, u'max_depth': 3}",0.8455056179775281
"{u'n_estimators': 100, u'max_depth': 3}",0.8441011235955056
"{u'n_estimators': 150, u'max_depth': 3}",0.8441011235955056
"{u'n_estimators': 10, u'max_depth': 4}",0.8370786516853933
"{u'n_estimators': 50, u'max_depth': 4}",0.8441011235955056
"{u'n_estimators': 100, u'max_depth': 4}",0.8314606741573034
"{u'n_estimators': 150, u'max_depth': 4}",0.8230337078651685
"{u'n_estimators': 10, u'max_depth': 5}",0.8314606741573034
"{u'n_estimators': 50, u'max_depth': 5}",0.8300561797752809
"{u'n_estimators': 100, u'max_depth': 5}",0.8146067415730337
"{u'n_estimators': 150, u'max_depth': 5}",0.8160112359550562
"{u'n_estimators': 10, u'max_depth': 6}",0.8300561797752809
"{u'n_estimators': 50, u'max_depth': 6}",0.8286516853932584
"{u'n_estimators': 100, u'max_depth': 6}",0.8188202247191011
"{u'n_estimators': 150, u'max_depth': 6}",0.8202247191011236
"{u'n_estimators': 10, u'max_depth': 7}",0.8314606741573034
"{u'n_estimators': 50, u'max_depth': 7}",0.8160112359550562
"{u'n_estimators': 100, u'max_depth': 7}",0.8174157303370787
"{u'n_estimators': 150, u'max_depth': 7}",0.8216292134831461
"{u'n_estimators': 10, u'max_depth': 8}",0.8286516853932584
"{u'n_estimators': 50, u'max_depth': 8}",0.8132022471910112
"{u'n_estimators': 100, u'max_depth': 8}",0.8103932584269663
"{u'n_estimators': 150, u'max_depth': 8}",0.8061797752808989
"{u'n_estimators': 10, u'max_depth': 9}",0.8174157303370787
"{u'n_estimators': 50, u'max_depth': 9}",0.8146067415730337
"{u'n_estimators': 100, u'max_depth': 9}",0.8216292134831461
"{u'n_estimators': 150, u'max_depth': 9}",0.8188202247191011
"{u'n_estimators': 10, u'max_depth': 10}",0.8174157303370787
"{u'n_estimators': 50, u'max_depth': 10}",0.8202247191011236
"{u'n_estimators': 100, u'max_depth': 10}",0.8216292134831461
"{u'n_estimators': 150, u'max_depth': 10}",0.8132022471910112
"{u'n_estimators': 10, u'max_depth': 11}",0.8117977528089888
"{u'n_estimators': 50, u'max_depth': 11}",0.8160112359550562
"{u'n_estimators': 100, u'max_depth': 11}",0.8216292134831461
"{u'n_estimators': 150, u'max_depth': 11}",0.8174157303370787
"{u'n_estimators': 10, u'max_depth': 12}",0.8047752808988764
"{u'n_estimators': 50, u'max_depth': 12}",0.8061797752808989
"{u'n_estimators': 100, u'max_depth': 12}",0.8174157303370787
"{u'n_estimators': 150, u'max_depth': 12}",0.8146067415730337
