parameters,mean_validation_score
"{u'n_estimators': 30, u'max_depth': 2}",0.7991573033707865
"{u'n_estimators': 50, u'max_depth': 2}",0.8019662921348315
"{u'n_estimators': 70, u'max_depth': 2}",0.800561797752809
"{u'n_estimators': 30, u'max_depth': 3}",0.7921348314606742
"{u'n_estimators': 50, u'max_depth': 3}",0.8033707865168539
"{u'n_estimators': 70, u'max_depth': 3}",0.8033707865168539
"{u'n_estimators': 30, u'max_depth': 4}",0.8300561797752809
"{u'n_estimators': 50, u'max_depth': 4}",0.8286516853932584
"{u'n_estimators': 70, u'max_depth': 4}",0.8300561797752809
"{u'n_estimators': 30, u'max_depth': 5}",0.8314606741573034
"{u'n_estimators': 50, u'max_depth': 5}",0.8370786516853933
"{u'n_estimators': 70, u'max_depth': 5}",0.8300561797752809
"{u'n_estimators': 30, u'max_depth': 6}",0.8286516853932584
"{u'n_estimators': 50, u'max_depth': 6}",0.8342696629213483
"{u'n_estimators': 70, u'max_depth': 6}",0.8314606741573034
"{u'n_estimators': 30, u'max_depth': 7}",0.8370786516853933
"{u'n_estimators': 50, u'max_depth': 7}",0.8328651685393258
"{u'n_estimators': 70, u'max_depth': 7}",0.8328651685393258
"{u'n_estimators': 30, u'max_depth': 8}",0.8286516853932584
"{u'n_estimators': 50, u'max_depth': 8}",0.827247191011236
"{u'n_estimators': 70, u'max_depth': 8}",0.8286516853932584
"{u'n_estimators': 30, u'max_depth': 9}",0.8258426966292135
"{u'n_estimators': 50, u'max_depth': 9}",0.8300561797752809
"{u'n_estimators': 70, u'max_depth': 9}",0.8342696629213483
"{u'n_estimators': 30, u'max_depth': 10}",0.8230337078651685
"{u'n_estimators': 50, u'max_depth': 10}",0.827247191011236
"{u'n_estimators': 70, u'max_depth': 10}",0.8216292134831461
"{u'n_estimators': 30, u'max_depth': 11}",0.8174157303370787
"{u'n_estimators': 50, u'max_depth': 11}",0.8216292134831461
"{u'n_estimators': 70, u'max_depth': 11}",0.8174157303370787
"{u'n_estimators': 30, u'max_depth': 12}",0.8160112359550562
"{u'n_estimators': 50, u'max_depth': 12}",0.8174157303370787
"{u'n_estimators': 70, u'max_depth': 12}",0.8216292134831461
